"name","gender","year","count"
"GRACELYN","F",2018,971
"TALIA","F",2018,971
"MAEVE","F",2018,969
"RYLIE","F",2018,966
"KIARA","F",2018,954
"EVELYNN","F",2018,952
"BRINLEY","F",2018,951
"JACQUELINE","F",2018,939
"LAURA","F",2018,935
"GRACELYNN","F",2018,927
"LEXI","F",2018,922
"ARIAH","F",2018,920
"FATIMA","F",2018,915
"JENNIFER","F",2018,915
"KEHLANI","F",2018,912
"ALANI","F",2018,904
"ARIYAH","F",2018,903
"LUCIANA","F",2018,902
"ALLIE","F",2018,901
"HEIDI","F",2018,898
"MACI","F",2018,897
"PHOENIX","F",2018,893
"FELICITY","F",2018,892
"JOY","F",2018,890
"KENZIE","F",2018,883
"VERONICA","F",2018,881
"MARGOT","F",2018,877
"ADDILYN","F",2018,871
"LANA","F",2018,868
"CASSIDY","F",2018,864
"REMINGTON","F",2018,862
"SAYLOR","F",2018,862
"RYAN","F",2018,860
"KEIRA","F",2018,859
"HARLOW","F",2018,858
"MIRANDA","F",2018,858
"ANGEL","F",2018,849
"AMANDA","F",2018,844
"DANIELLA","F",2018,839
"ROYALTY","F",2018,836
"GWENDOLYN","F",2018,835
"OPHELIA","F",2018,831
"HEAVEN","F",2018,829
"JORDAN","F",2018,828
"MADELEINE","F",2018,828
"ESMERALDA","F",2018,826
"KIRA","F",2018,822
"MIRACLE","F",2018,819
"ELLE","F",2018,812
"AMARI","F",2018,810
"DANIELLE","F",2018,809
"DAPHNE","F",2018,806
"WILLA","F",2018,806
"HALEY","F",2018,802
"GIA","F",2018,799
"KAITLYN","F",2018,796
"OAKLEY","F",2018,794
"KAILANI","F",2018,793
"WINTER","F",2018,792
"ALICIA","F",2018,786
"SERENA","F",2018,777
"NADIA","F",2018,776
"AVIANA","F",2018,774
"DEMI","F",2018,774
"JADA","F",2018,773
"BRAELYNN","F",2018,772
"DYLAN","F",2018,771
"AINSLEY","F",2018,768
"ALISON","F",2018,767
"CAMRYN","F",2018,767
"AVIANNA","F",2018,765
"BIANCA","F",2018,764
"SKYLER","F",2018,762
"SCARLET","F",2018,759
"MADDISON","F",2018,757
"NYLAH","F",2018,756
"SARAI","F",2018,753
"REGINA","F",2018,751
"DAHLIA","F",2018,750
"NAYELI","F",2018,748
"RAVEN","F",2018,747
"HELEN","F",2018,745
"ADRIANNA","F",2018,743
"AVERIE","F",2018,742
"SKYE","F",2018,741
"KELSEY","F",2018,738
"TATUM","F",2018,738
"KENSLEY","F",2018,737
"MALIYAH","F",2018,736
"ERIN","F",2018,735
"VIVIANA","F",2018,735
"JENNA","F",2018,734
"ANAYA","F",2018,733
"CAROLINA","F",2018,733
"SHELBY","F",2018,732
"SABRINA","F",2018,731
"MIKAYLA","F",2018,730
"ANNALISE","F",2018,729
"OCTAVIA","F",2018,727
"LENNON","F",2018,724
"BLAIR","F",2018,723
"CARMEN","F",2018,723
"YARETZI","F",2018,723
"KENNEDI","F",2018,722
"MABEL","F",2018,722
"ZARIAH","F",2018,721
"KYLA","F",2018,720
"CHRISTINA","F",2018,719
"SELAH","F",2018,719
"CELESTE","F",2018,718
"EVE","F",2018,716
"MCKINLEY","F",2018,716
"MILANI","F",2018,716
"FRANCES","F",2018,715
"JIMENA","F",2018,712
"KYLEE","F",2018,711
"LEIGHTON","F",2018,710
"KATIE","F",2018,707
"AITANA","F",2018,704
"KAYLEIGH","F",2018,698
"SIERRA","F",2018,693
"KATHRYN","F",2018,692
"ROSEMARY","F",2018,690
"JOLENE","F",2018,688
"ALONDRA","F",2018,687
"ELISA","F",2018,687
"HELENA","F",2018,681
"CHARLEIGH","F",2018,680
"HALLIE","F",2018,679
"LAINEY","F",2018,677
"AVAH","F",2018,675
"JAZLYN","F",2018,675
"KAMRYN","F",2018,674
"MIRA","F",2018,672
"CHEYENNE","F",2018,670
"FRANCESCA","F",2018,668
"ANTONELLA","F",2018,661
"WREN","F",2018,661
"CHELSEA","F",2018,659
"AMBER","F",2018,658
"EMORY","F",2018,654
"LORELEI","F",2018,654
"NIA","F",2018,654
"ABBY","F",2018,653
"APRIL","F",2018,653
"EMELIA","F",2018,653
"CARTER","F",2018,652
"AYLIN","F",2018,651
"CATALEYA","F",2018,651
"BETHANY","F",2018,650
"MARLEE","F",2018,650
"CARLY","F",2018,647
"KAYLANI","F",2018,647
"EMELY","F",2018,646
"LIANA","F",2018,643
"MADELYNN","F",2018,642
"CADENCE","F",2018,639
"MATILDA","F",2018,635
"SYLVIA","F",2018,631
"MYRA","F",2018,629
"FERNANDA","F",2018,627
"OAKLYN","F",2018,627
"ELIANNA","F",2018,626
"HATTIE","F",2018,624
"DAYANA","F",2018,622
"KENDRA","F",2018,622
"MAISIE","F",2018,622
"MALAYSIA","F",2018,622
"KARA","F",2018,616
"KATELYN","F",2018,616
"MAIA","F",2018,614
"CELINE","F",2018,613
"CAMERON","F",2018,612
"RENATA","F",2018,611
"JAYLEEN","F",2018,609
"CHARLI","F",2018,608
"EMMALYN","F",2018,608
"HOLLY","F",2018,608
